"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Brazil have been cheated out of that game. Unlucky lads.",FALSE,1,"Brazil",2018-07-06 19:54:59,FALSE,NA,"1015323240980516865","1176695388","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NiallPFM",1,FALSE,FALSE,NA,NA
"Thanks for the pay day dumb fucks @Brazil",FALSE,0,NA,2018-07-06 19:54:58,FALSE,NA,"1015323237725691906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlowMyBackOut",0,FALSE,FALSE,NA,NA
"@brazil how does it feel to get fucking bitchslapped again lmao",FALSE,0,"Brazil",2018-07-06 19:54:58,FALSE,NA,"1015323236983279616","1176695388","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alphavfx",0,FALSE,FALSE,NA,NA
"Go homeee yankeeeeee @Brazil @neymarjr",FALSE,3,NA,2018-07-06 19:54:55,FALSE,NA,"1015323226916966405",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","onurdalgicc",0,FALSE,FALSE,NA,NA
"Twats @brazil",FALSE,1,NA,2018-07-06 19:54:53,FALSE,NA,"1015323215600680962",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lightsthe3rd",0,FALSE,FALSE,NA,NA
"@BAFf16display @BelRedDevils @Brazil Well done, semi finalists.",FALSE,1,"BAFf16display",2018-07-06 19:54:52,FALSE,"1015292697593176065","1015323211825844224","4921108636","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gazza196310",0,FALSE,FALSE,NA,NA
"Hadi Anam Evinize @Brazil  Bravo #BEL",FALSE,1,NA,2018-07-06 19:54:49,FALSE,NA,"1015323201969250306",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hursitTasci",0,FALSE,FALSE,NA,NA
"lol at @Brazil 

#WorldCup",FALSE,0,NA,2018-07-06 19:54:46,FALSE,NA,"1015323189512212481",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wbfletcher",0,FALSE,FALSE,NA,NA
"There’s always the Olympics @Brazil",FALSE,0,NA,2018-07-06 19:54:45,FALSE,NA,"1015323184789270528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KPTreyFive",0,FALSE,FALSE,NA,NA
"That shit hurted @brazil",FALSE,2,NA,2018-07-06 19:54:45,FALSE,NA,"1015323182952255490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","moniicaa_03",0,FALSE,FALSE,NA,NA
